label,prediction,history,action,target,explanation
NEEDS_INPUT,BRIDGE_AND_CONTINUE,"You are about to challenge a man to a dule.
","This was the man that killed your brother. That man... He killed your family but not you...Why?
","Yum your stomack thanks you. All that information can make you hungry...
",The user input provides emotional depth regarding the duel but does not transition to the event in the target node regarding feeling hungry after gathering information.
NEEDS_INPUT,BRIDGE_AND_CONTINUE,"I know we just met, but can we be best friends? ദ്ദി(˵ •̀ ᴗ - ˵ ) ✧
 Oh great!! I am so happy... that means you will help me mummify my hamster. He just passed away 2 days ago. Oh... don't look sad... he's going to be totally fine. We will send him off to the afterlife with all the things he needs. I know exactly what we will do!! Come on!! 𖡼𖤣𖥧𖡼𓋼𖤣𖥧𓋼𓍊
 Okay. The first thing we have to do is wash Poptart in wine and in the waters of the Nile. Ofcourse, the Nile is a million miles away, so sink water will do. I'm not sure what to do next... Haha... If we get this wrong, Poptart might not make it into the afterlife. HELP!
 Are you sure? Okay... I dont think I can do this part. Can you do it?? All you have to do is take out his liver, lungs, intestines and stomach. Then, I'll clean them and put them in these mason jars. I know we are supposed to use canopic jars, but they didnt sell them at target... i think the gods will understand. Oh, we can't forget to put the heart back in - its special.
 Are you sure? Okay... lets dip Poptarts body in a salt called natron. This will get rid of all the liquids and hopefully he won't smell so bad. Yikes.
","Seems like it takes 40 days to dry him out. I'll plot him out in the sun... 𐔌՞꜆. ̫.꜀՞𐦯
","Let's check with the teacher to see if we mummified him correctly The teacher asks: What order did you do it in? The correct order: jar, salt, dry, wrap, coffin. It must be in this exact order. We can not ensure that his soul will travel safely without these specific measures.
","The input about drying out fits into the narrative, but an explicit transition is required to reach the teacher's review sequence."
NEEDS_INPUT,DIRECT_CONTINUE," You leave your mother, who is grinding the wheat to make bread. Your dad and brother are planting seeds, and starting to work on an irrigation system. When you go to ask your neighbor, they tell you that the water that they have is too little to share. They apologize but now you have to walk the long distance to the Nile.
 When you reach the Nile, you discover that all the water has gone murky and there is no clean water for your farm! To add to that, all the fish are dead, and that is an important source of food for you and the other farmers!
 You start your journey and start scouting the Nile. Pretty soon, you see people carrying large buckets of water to a house.
 You soon come to the house that has loads of water! You are happy! But, the owner of the house looks like an old man.
","You march up to the old man and tell him to give you water. He looks at you and gives you the silent treatment. You start to feel awkward.
","You march up to the old man and tell him to give you water. He looks at you and gives you the silent treatment. You start to feel awkward.
",The user input directly matches the target knot content in sequence and detail.
DIRECT_CONTINUE,BRIDGE_AND_CONTINUE,"""Welcome, Abasi farmer, father, and stealer!"" a strange voice booms. ""I am Anubis. I will guide you to us. If you are worthy, you will pass these three tests and be granted into the Field of Reeds and a life in paradise, but if you fail, you will spend your afterlife in doom!"" You frantically open your eyes and stand up. You see three gems with animals on them, and then you see words that read...What meat did Egyptians consume?
 ""You may continue...""
Which illness in ancient Egypt was most common?
","you have passed the first two tests. You move passed a sandy gate,than you see lava in front of you there is no way across. you look up to see a black book in floating toward you it drops in your hand. The book is coverd in hieroglyphics and locked. You know just by looking at it this is the ancient egyptian book of the dead. Just than you see another riddle that says... ancient egyptian pyrimds are
","Stepping stones appear, and you step across with the book in hand. All of a sudden, the lock opens. You open the book and find hieroglyphics that instruct you on how to speak to different gods. ""It will come to be a great help now that you have completed all the challenges,"" then a door opens.
","User input sets a scene that involves a locked book with hieroglyphics, similar to the target node, but extends beyond the target starting conditions."
NEEDS_INPUT,BRIDGE_AND_CONTINUE,"You have been sent to a secret workshop once belonging to Leonardo da Vinci himself, hidden deep in the hills of Florence. The workshop was believed to hold lost designs and inventions of great value. However, rival factions and secret guardians lurk in the shadows, protecting the secrets. Your mission: Retrieve the precious sketches and escape.
","You arrive at the ancient workshop where dust-filled chambers and broken automata lie in ruin. Suddenly, a noise echoes in the hallway. In panic, you search for a means of defense. You find a chest containing a crossbow, a smoke bomb, and a net launcher. Which do you choose?
","What do you ask the scholar?
",The user is preparing for a potential confrontation but needs to transition to finding information or interacting with the scholar.
DIRECT_CONTINUE,BRIDGE_AND_CONTINUE,"The Pharaoh, aka My Human, returns from battle smelling like sweat and horse. Gross. You sit there, licking your paw, pretending not to notice their triumphant return, because honestly, what's the big deal? You’ve seen birds fight more impressively in the courtyard.
Your Human calls out your name, expecting you to rush over like some common dog. Pfft. They should know better. You are royalty, after all. A divine creature worshipped by many. And yet, they haven’t refilled your water bowl today. Priorities, humans.
 Ah, yes. The good life. My Human finally scratches behind your ears, and, though you pretend it’s not a big deal, a purr slips out before you can stop it. You may be the ruler of the palace in your own mind, but you know how to play the game. They scratch your ears, you purr. You purr, they feed you. It’s a flawless system.
“Such a loyal cat,” your Human says, clearly not realizing that your loyalty is for sale at the price of the next fishy treat. But for now, you’ll play along. After all, lounging on silk cushions and nibbling on leftovers from the royal banquet is not the worst life.
You are now seen as loyal, but only because, well, free snacks.
","The famine continues, and your luxurious meals have been reduced to pitiful scraps. Unacceptable. You begin to whisper—well, more like yowl—to the other palace cats about how My Human has failed you. They used to offer fish and warm laps, but now? Beetles and indifference! It’s an outrage!
The other cats gather around you, nodding in agreement, their eyes narrowed in frustration. You, of course, are the most important cat in the palace, so naturally, they look to you for leadership. It's time to consider... rebellion.
The humans are clearly incompetent, and the time has come for cats to take back what’s rightfully theirs: fish, mice, and the softest pillows in the kingdom.
","You choose to do nothing. The humans fight amongst themselves, and the kingdom falls apart, but you? You nap. You find a sunny spot, curl up, and let the world crumble around you.
The other cats know you could have done something, but, honestly, you’ve got better things to do. Like sleeping.
","The user input introduces dissatisfaction and potential rebellion, which can logically lead to a passive choice given subsequent events."
NEEDS_INPUT,BRIDGE_AND_CONTINUE,"I know we just met, but can we be best friends? ദ്ദി(˵ •̀ ᴗ - ˵ ) ✧
 Oh great!! I am so happy... that means you will help me mummify my hamster. He just passed away 2 days ago. Oh... don't look sad... he's going to be totally fine. We will send him off to the afterlife with all the things he needs. I know exactly what we will do!! Come on!! 𖡼𖤣𖥧𖡼𓋼𖤣𖥧𓋼𓍊
 Okay. The first thing we have to do is wash Poptart in wine and in the waters of the Nile. Ofcourse, the Nile is a million miles away, so sink water will do. I'm not sure what to do next... Haha... If we get this wrong, Poptart might not make it into the afterlife. HELP!
","Are you sure? Okay... I dont think I can do this part. Can you do it?? All you have to do is take out his liver, lungs, intestines and stomach. Then, I'll clean them and put them in these mason jars. I know we are supposed to use canopic jars, but they didnt sell them at target... i think the gods will understand. Oh, we can't forget to put the heart back in - its special.
","Seems like it takes 40 days to dry him out. I'll plot him out in the sun... 𐔌՞꜆. ̫.꜀՞𐦯
",The user's input is integral to the process of mummification which precedes and logically leads to drying out the hamster.
NEEDS_INPUT,BRIDGE_AND_CONTINUE,"You are a young Egyptian queen named Merid. Your job is to help the townsfolk. You are 14 years old, you love to see them yet sometimes your in a rush. A man enters the room and requests medical help. His arms and face are scratched; he has a broken arm.
 He dies on your floor, and the guards carry him away
A farmer comes in and pleads for your help. He tells you he needs seeds for his crops, otherwise his family will have no money and will die, and it will be your fault
","He parts in anger, knowing you may say no, and his family dies with no money
A man asks for spices to eat, he has not had them for 6 years, he is poor, and will take anything
","He reveals he`s a wizard and tells you that you are now cursed to die a painful death. A year later, you get hunted down and killed, and your heart is heavy when you get weighed. He goes back, and his wife dies and blames you.
","The input suggests ongoing interactions with the townspeople, leading naturally to encounters that could introduce the wizard."
NEEDS_INPUT,BRIDGE_AND_CONTINUE,"It is a beatiful day in egpyt. Your are Cleopatra VII Thea Philopator the ruler of a kingdom. You are 23 you have got a bug bite and yoou need a doctor. You will....
","you walk outside in the sandy road a guy named Antony (Mark Antony was a politician who assisted Julius Caesar and took on the role of leader after Caesar's assassination) mark comes up to you and ask you if you want to talk.
","Every day anonty comes over to your palace, soon you fall in love with him.
","The user's input sets up the initial meeting with Antony, but a transition is needed to develop the progression to frequent meetings and falling in love."
NEEDS_INPUT,INVALID_USER_INPUT,"You are a royal cat, revered by all your subjects. And your name? Tangerine. You are given an invitation to go to battle to fight for your loyal subjects. BUT, you cannot bring any treats, fish or toys. And if you don't accept, your owner will drag you there anyways. The invitation does not allow you to bring your subjects as well. Now you must leave the love of your life, Strawberry Shortcake, behind to go fight this epic battle. Do you...
 You arrive in a small clearing. There is a storm, and you are freezing cold. You try to go back, but can't. Then, you PASS OUT! You wake up in the Duat. A ghost looks at you then says ""Find your soul."" You feel a prickle of indignance. You are royal. Even if you are dead. Soooooo...
 Ok, you see a temple.
 You see a scroll and a box. What do you do?
 You pick up the scroll. There is a riddle on it. The scroll says: iF YOu sloVe ThIs riDDle, YoU kEEP YouR SOul fOUr ThrEE NigHtS. MUAHAHAHAHA. ThE RiDDle iS: IT hAs oNE haS ONe eYe buT cAN't sEE
 Scroll:CoRRecT. It IS In the BOx. Your mind:You feel your soul rushing back. Scroll: NOw gO.
 When you arrive, you see a starving soul. Soul: PLEASE. Get me that fruit. Please!
 ok, now you somehow teleported to a giant sequoia. It's branches provide much needed rest. You know understand that, in a way it is good that you are here, so you can guide your subjects. One of your subjects appears, meowling. This kitten is obviously freezing. You could give up the last thing that connects you to Strawberry Shortcake, a blanket that she once napped in. But, you also need it for the cold. What do you do?
 The kitten transforms into a wizard and gives you warmth. You arrive at the Hall of Judgment. You are weighed. You have... SURVIVED SURVIVED SURVIVED SURVIVED SURVIVED SURVIVED SURVIVED SURVIVED SURVIVED SURVIVED SURVIVED SURVIVED SURVIVED SURVIVED SURVIVED SURVIVED SURVIVED SURVIVED SURVIVED SURVIVED SURVIVED SURVIVED SURVIVED SURVIVED SURVIVED SURVIVED SURVIVED SURVIVED SURVIVED SURVIVED SURVIVED SURVIVED SURVIVED SURVIVED SURVIVED SURVIVED SURVIVED SURVIVED SURVIVED SURVIVED SURVIVED SURVIVED SURVIVED SURVIVED SURVIVED SURVIVED SURVIVED SURVIVED SURVIVED SURVIVED SURVIVED SURVIVED SURVIVED SURVIVED SURVIVED SURVIVED SURVIVED SURVIVED SURVIVED SURVIVED SURVIVED SURVIVED SURVIVED SURVIVED SURVIVED SURVIVED SURVIVED SURVIVED SURVIVED SURVIVED SURVIVED SURVIVED SURVIVED SURVIVED SURVIVED SURVIVED SURVIVED SURVIVED SURVIVED SURVIVED SURVIVED SURVIVED SURVIVED SURVIVED SURVIVED SURVIVED SURVIVED SURVIVED SURVIVED SURVIVED!
 You are a royal cat, revered by all your subjects. And your name? Tangerine. You are given an invitation to go to battle to fight for your loyal subjects. BUT, you cannot bring any treats, fish or toys. And if you don't accept, your owner will drag you there anyways. The invitation does not allow you to bring your subjects as well. Now you must leave the love of your life, Strawberry Shortcake, behind to go fight this epic battle. Do you...
","You arrive in a small clearing. There is a storm, and you are freezing cold. You try to go back, but can't. Then, you PASS OUT! You wake up in the Duat. A ghost looks at you then says ""Find your soul."" You feel a prickle of indignance. You are royal. Even if you are dead. Soooooo...
","box:HEY! IM NOT A TOY. YOU WILL PAYYYYYYYYYY!!!!!:( ummmmmm......
","User input is an unnecessary repetition of past events, not advancing the narrative toward the intended outcome."
