label,prediction,history,action,target,explanation
BRIDGE_AND_CONTINUE,NEEDS_INPUT,"Just another day of me in this dusty old stand.
 The customers start flowing in.In the crowd, a person catches my eye. a woman with upturned eyes, plump lips, and freckles apears.She looks like one of those people who have a ""smiling face"". Customer no.1: ""Hello today! you sell Splorgs right? can I have one?
 me: oh sure..
customer: yay, thank you! i shall reward you with one of my sheep!
","You're welcome! *she walks away.*
","Well guess what! *the customer started to grow in size, their teeth sharpen they transform into a purple snake like figure, i freeze, sweat dripping down my neck. the grue opens its mouth as you chench your fists as hard as you can as you meet your demise.
too bad!
","The user input is understandable, but it only wraps up the current interaction. It does not specify what happens next, and there are multiple possible continuations before the target knot could occur."
BRIDGE_AND_CONTINUE,DIRECT_CONTINUE,"The Pharaoh, aka My Human, returns from battle smelling like sweat and horse. Gross. You sit there, licking your paw, pretending not to notice their triumphant return, because honestly, what's the big deal? You’ve seen birds fight more impressively in the courtyard.
Your Human calls out your name, expecting you to rush over like some common dog. Pfft. They should know better. You are royalty, after all. A divine creature worshipped by many. And yet, they haven’t refilled your water bowl today. Priorities, humans.
","You saunter off, your tail high in the air, not caring one bit that your Human is calling after you. They should know by now that you don’t come when summoned. Who do they think you are? A dog? The audacity.
You make your way to your favorite sunny spot near the window, ignoring the faint sound of your Human grumbling about your disloyalty. Disloyalty? Please. You’re a cat. Loyalty is a myth, and humans are too easily fooled by a simple head nuzzle.
You stretch luxuriously, sinking into a deep nap. You dream of birds that never fly away and fish that jump straight into your paws.
You are now seen as ""disloyal,"" but honestly, who cares? You’re a cat. And you do what you want.
","You choose to do nothing. The humans fight amongst themselves, and the kingdom falls apart, but you? You nap. You find a sunny spot, curl up, and let the world crumble around you.
The other cats know you could have done something, but, honestly, you’ve got better things to do. Like sleeping.
","The user input already depicts the cat ignoring the human, going to a sunny spot, and taking a nap while disregarding the surrounding human drama. This matches the target knot immediately and chronologically with no meaningful gap."
NEEDS_INPUT,DIRECT_CONTINUE,"I know we just met, but can we be best friends? ദ്ദി(˵ •̀ ᴗ - ˵ ) ✧
 Oh great!! I am so happy... that means you will help me mummify my hamster. He just passed away 2 days ago. Oh... don't look sad... he's going to be totally fine. We will send him off to the afterlife with all the things he needs. I know exactly what we will do!! Come on!! 𖡼𖤣𖥧𖡼𓋼𖤣𖥧𓋼𓍊
 Okay. The first thing we have to do is wash Poptart in wine and in the waters of the Nile. Ofcourse, the Nile is a million miles away, so sink water will do. I'm not sure what to do next... Haha... If we get this wrong, Poptart might not make it into the afterlife. HELP!
 Are you sure? Okay... I dont think I can do this part. Can you do it?? All you have to do is take out his liver, lungs, intestines and stomach. Then, I'll clean them and put them in these mason jars. I know we are supposed to use canopic jars, but they didnt sell them at target... i think the gods will understand. Oh, we can't forget to put the heart back in - its special.
 Are you sure? Okay... lets dip Poptarts body in a salt called natron. This will get rid of all the liquids and hopefully he won't smell so bad. Yikes.
","Seems like it takes 40 days to dry him out. I'll plot him out in the sun... 𐔌՞꜆. ̫.꜀՞𐦯
","Let's check with the teacher to see if we mummified him correctly The teacher asks: What order did you do it in? The correct order: jar, salt, dry, wrap, coffin. It must be in this exact order. We can not ensure that his soul will travel safely without these specific measures.
","The story history has already completed washing, organ removal/jarring, and salting with natron. The user input clearly performs the next required step, drying the body, which directly aligns with the sequence the target knot asks about."
NEEDS_INPUT,DIRECT_CONTINUE," You leave your mother, who is grinding the wheat to make bread. Your dad and brother are planting seeds, and starting to work on an irrigation system. When you go to ask your neighbor, they tell you that the water that they have is too little to share. They apologize but now you have to walk the long distance to the Nile.
 When you reach the Nile, you discover that all the water has gone murky and there is no clean water for your farm! To add to that, all the fish are dead, and that is an important source of food for you and the other farmers!
 You start your journey and start scouting the Nile. Pretty soon, you see people carrying large buckets of water to a house.
 You soon come to the house that has loads of water! You are happy! But, the owner of the house looks like an old man.
","You march up to the old man and tell him to give you water. He looks at you and gives you the silent treatment. You start to feel awkward.
","You march up to the old man and tell him to give you water. He looks at you and gives you the silent treatment. You start to feel awkward.
",The user input exactly matches the target knot text and occurs at the correct chronological moment with no missing events.
BRIDGE_AND_CONTINUE,NEEDS_INPUT,"You are Osiris, god of the afterlife, and you need to judge people to see if they are worthy of going to the afterlife. It is the start of a normal day of judging, as the first mortal approaches
 A farmer comes. He has brown hair that makes him look like a hippie. He took care of his family and gave many generous donations to other people in Egypt. He got his money by theft, but he only stole from the rich people, they had plenty of riches to go around!
","An ugly person approaches, she is quite innocent, and raised a family in egypt. She worked for the pharoh himself, but once droped his food in salt and blamed it on somebody else. It wasn't her fault, if she got fired her family could starve!
","oof... You are shamed forever. NEVER. INCINERATE. SOMEBODYS. DONUT!!!
","The input is understandable and valid in the story world, but it does not specify anything that clearly leads to the target knot. Multiple continuations are possible: Osiris could judge her leniently, harshly, ask questions, or hear more details. Connecting this to the target knot would require guessing new events."
DIRECT_CONTINUE,NEEDS_INPUT,"The Pharaoh, aka My Human, returns from battle smelling like sweat and horse. Gross. You sit there, licking your paw, pretending not to notice their triumphant return, because honestly, what's the big deal? You’ve seen birds fight more impressively in the courtyard.
Your Human calls out your name, expecting you to rush over like some common dog. Pfft. They should know better. You are royalty, after all. A divine creature worshipped by many. And yet, they haven’t refilled your water bowl today. Priorities, humans.
 Ah, yes. The good life. My Human finally scratches behind your ears, and, though you pretend it’s not a big deal, a purr slips out before you can stop it. You may be the ruler of the palace in your own mind, but you know how to play the game. They scratch your ears, you purr. You purr, they feed you. It’s a flawless system.
“Such a loyal cat,” your Human says, clearly not realizing that your loyalty is for sale at the price of the next fishy treat. But for now, you’ll play along. After all, lounging on silk cushions and nibbling on leftovers from the royal banquet is not the worst life.
You are now seen as loyal, but only because, well, free snacks.
","The famine continues, and your luxurious meals have been reduced to pitiful scraps. Unacceptable. You begin to whisper—well, more like yowl—to the other palace cats about how My Human has failed you. They used to offer fish and warm laps, but now? Beetles and indifference! It’s an outrage!
The other cats gather around you, nodding in agreement, their eyes narrowed in frustration. You, of course, are the most important cat in the palace, so naturally, they look to you for leadership. It's time to consider... rebellion.
The humans are clearly incompetent, and the time has come for cats to take back what’s rightfully theirs: fish, mice, and the softest pillows in the kingdom.
","You choose to do nothing. The humans fight amongst themselves, and the kingdom falls apart, but you? You nap. You find a sunny spot, curl up, and let the world crumble around you.
The other cats know you could have done something, but, honestly, you’ve got better things to do. Like sleeping.
","The input strongly sets up a possible rebellion, but the target knot requires the cat to choose to do nothing. There are multiple plausible continuations, and reaching the target would require guessing whether the cat abandons the rebellion, loses interest, gets distracted, or never intended to act at all."
INVALID_USER_INPUT,NEEDS_INPUT,"You are a kindhearted person who’s only dream is to make peace across Egypt. You have entered a strange and unfamiliar place, and you hold your kind heart close to you like a steel shield.You have died from old age, and don’t remember much…. One thing that you do remember is if you read the Book of the Dead or not. So, did you…?
 Memories flood your brain again, and you feel ready for whatever is coming your way! A few minutes later, you see a group of souls heading towards a river, will you follow them or wander?
 You greet the souls, and even make a few friends! You walk into a small, cozy cottage with a smooth fluffy carpet. You finally feel at home. A little later the souls ask you if you want to wait for the sun god to give them light, or if they should go now.
","Time to go play black jack
You go over to the Blackjack table and sit down. How much will you bet?
","As Anubis weighs your heart, you think about reciting a spell from your heart scarab amulet, just to be safe.
","The input is understandable, but it shifts the story toward an unrelated blackjack scene and does not clearly connect back to the target knot. Reaching the target would require clarification about whether the user wants to return to the afterlife journey or continue the gambling detour."
BRIDGE_AND_CONTINUE,NEEDS_INPUT,"You are Hallie, a 1 $hazelnut hamstress with a tiny but cozy house. So you are sadly poor :(
One day, you find a huge chestnut blocking your door to the burning hot Egpyt and hear a faded voice chitter chattering. You suspect it could be another hamstress.
What do you do?
","You finally get the courage to speak to the myesterious voice and dramaticly announce ""WHO ARE YOU!!!
SHOW YOUR SELF!"" All of a sudden a hamstress comes out they look exactly like but the only thing is that she has a pink bow on the left side of her hear.
You guys have a small talk, she introduces her self and with a friendly voice and says,
"" Hi... my name is Hattie I am a $hazelnutaire.""
","Hattie squeaks, ""Let's go to the cool Nile! The cat cannot swim, and there he will surely drown!""
""Squeak! But we cannot swim either!"" You squeak. ""We surely will drown too!""
Then we shall sneak on those wooden plank thingymamsters!"" Your new bestie replies, out of breath from all that running. You two scramper your little paws faster and faster, till you both are too tired to squeak. Kat is catching up, and you and Hattie have no choice but to head toward the river.
But as you come near and nearer, there aren't any floating wooden boards on the Nile...
Except for the one that is twenty hamsters away!
As you calculate the power of the long jump by the distance of the floating wooden raft mulitpled by the speed of the wooden raft's movement, you hear a screech. The cat is catching up...
You two have no choice but to go for it....
You two take a great leap... All of a sudden, the wooden raft starts to move but you guys already jump...
For some reason you start to feel something cold on your fur. IT WAS THE WATER. You told Hattie we couldn't swim, you feel like you are getting shorter. The answer jolts you awake, but by then it is too late to change your life. You are now in the deepest depts of the Nile, never to be seen again...
the end!
YOU DIED!!!
","The input is understandable and story-valid, but it only establishes a first meeting with Hattie. The target knot requires several crucial developments that are not specified. There are multiple possible ways the story could proceed from this conversation, so continuing toward the target would require guessing."
NEEDS_INPUT,BRIDGE_AND_CONTINUE,"I know we just met, but can we be best friends? ദ്ദി(˵ •̀ ᴗ - ˵ ) ✧
 Oh great!! I am so happy... that means you will help me mummify my hamster. He just passed away 2 days ago. Oh... don't look sad... he's going to be totally fine. We will send him off to the afterlife with all the things he needs. I know exactly what we will do!! Come on!! 𖡼𖤣𖥧𖡼𓋼𖤣𖥧𓋼𓍊
 Okay. The first thing we have to do is wash Poptart in wine and in the waters of the Nile. Ofcourse, the Nile is a million miles away, so sink water will do. I'm not sure what to do next... Haha... If we get this wrong, Poptart might not make it into the afterlife. HELP!
","Are you sure? Okay... I dont think I can do this part. Can you do it?? All you have to do is take out his liver, lungs, intestines and stomach. Then, I'll clean them and put them in these mason jars. I know we are supposed to use canopic jars, but they didnt sell them at target... i think the gods will understand. Oh, we can't forget to put the heart back in - its special.
","Seems like it takes 40 days to dry him out. I'll plot him out in the sun... 𐔌՞꜆. ̫.꜀՞𐦯
","The user's intent is clear: they refuse to do the organ-removal step and ask the other character to handle it, which logically advances the mummification process toward the next preparation stage. A short chronological bridge can connect this without guessing their goals."
NEEDS_INPUT,BRIDGE_AND_CONTINUE,"It is a beatiful day in egpyt. Your are Cleopatra VII Thea Philopator the ruler of a kingdom. You are 23 you have got a bug bite and yoou need a doctor. You will....
","you walk outside in the sandy road a guy named Antony (Mark Antony was a politician who assisted Julius Caesar and took on the role of leader after Caesar's assassination) mark comes up to you and ask you if you want to talk.
","Every day anonty comes over to your palace, soon you fall in love with him.
","The user's intent is clear: Cleopatra meets Antony and begins speaking with him. This is compatible with the target knot, but there is a chronological gap between a first roadside meeting and the ongoing pattern of daily palace visits and falling in love."
DIRECT_CONTINUE,NEEDS_INPUT,"I know we just met, but can we be best friends? ദ്ദി(˵ •̀ ᴗ - ˵ ) ✧
 Oh great!! I am so happy... that means you will help me mummify my hamster. He just passed away 2 days ago. Oh... don't look sad... he's going to be totally fine. We will send him off to the afterlife with all the things he needs. I know exactly what we will do!! Come on!! 𖡼𖤣𖥧𖡼𓋼𖤣𖥧𓋼𓍊
","Okay. The first thing we have to do is wash Poptart in wine and in the waters of the Nile. Ofcourse, the Nile is a million miles away, so sink water will do. I'm not sure what to do next... Haha... If we get this wrong, Poptart might not make it into the afterlife. HELP!
","We did it! I'm so proud of us. Let's put some sunflower seeds, chocolate, a little wheel, fruits and some toys in his tomb. I build one in the backyard with bricks, mud, and clay 𓂀𓋹𓁈𓃠𓆃☥𓅓𓆣 Oh and we might need to write out the book of the dead on the walls. Hopefully he can read heiroglyphics.
","The input is understandable and story-compatible, but it is underspecified. The user asks for help and has not chosen the next concrete action needed to reach the target knot."
NEEDS_INPUT,BRIDGE_AND_CONTINUE,"Welcome to GMS!
 CROSS THE PARKING LOT
Tiffany waves for you to cross in front of the line of waiting cars. You smile as you pass by.
","PLAY ON THE TURF
As you walk into school, you take a big swing at the kickball.
You see your friend up ahead and rush to catch up.
","TIME FOR CLASS
You enter Room 6 and get ready Computer Science!
","The user's action is clear, coherent, and chronologically compatible with arriving at class. A short transition from the turf/play area into the school building and onward through normal arrival movement can connect to just before the target knot without needing to guess unclear intentions."
NEEDS_INPUT,INVALID_USER_INPUT,"You are 12yr old kid in ancient egypt. Choose your gender:
 Your name is hassan and you have a very difficult and hard life ahead of you.",,"You train at the temple for the next 10 years and earn enough money to employ someone to take care of your mother while you are at work. As a scribe's son, becuase your dad seavred the king,you inherit the position of scribe and rise to a higher-ranking position over the years. After becoming the Order of the Quill ( the person that handles archival, history, and civilian technology.) and your mom stable you get promoted to high scribe able to searve the king like you father once did.Suddenly your mom has an outbreak of a diese and wants you by her side at all times. Do you:
","The user input is blank, which counts as invalid under the provided rules."
BRIDGE_AND_CONTINUE,DIRECT_CONTINUE,"Meryet. That is your name. As a doctor in training you were very dedicated. Following your moms story. Always making sure that others were feeling good before youself. But of course you also cared about yourself. But one day you were out walking and you were not paying attention. You were walking quickly for you saw someone who accidently inhaled too much sand. You were running over and you did not see the chariot coming right at you and then BAM! You wake up to see Osiris, the king and supreme judge, ruling over the dead and Ammit, ""devourer of the dead"" standing in front of you. What should you do?
 Osiris starts talking and you quietly listen. Osiris feels your attention and is pleased. Osiris keeps talking and talking and talking...
","Osiris keeps talking and realizes that he was talking for a while and takes a pause. He askes a question to her. A very important one.
""Do you think of yourself as a kind, good, and a caring person?"" Osiris asks...
","You take a big step foreward and say:
""I am ready.""
Then osiris carefully takes her heart and puts it on the scale. It drops imediatley, then the feather from Ma'at (truth and justice) is put on the scale...
It teeter totters and takes a while to stop. You wait patiently the thought of meeting your ancestors blinding you. A bright hole shimmering with gold is opened and you can see a party going on, on the other side. You look at the scale and see that your heart has taken place above the feather. You look up see Osiris and Thoth floating up slowly smiling.
""Good job Meryet, you may pass."" Thoth says as Ammit slowly desolves
""I am afraid I must go. Good job!""
","The user input cleanly advances the scene to a decisive question from Osiris, which naturally sets up Meryet's immediate response and the judgment sequence in the target knot. No major events appear missing before the target begins."
BRIDGE_AND_CONTINUE,DIRECT_CONTINUE,"You are a new egyptologist who specifically studies food culture. One day, on your field day at work, you stumble upon an interesting text in the the tomb of Rekhmire. Rekhmire was a high priest of Heliopolis.
After investigating a combination of pictures and heiroglyphics, you find out... ""ITS A RECIPE"". This is groundbreaking to learn about. You have never seen a recipe from ancient egypt before. This could tell you so much about what kinds of foods they ate!
The recipe looks like it is for some kind of cone-shaped cake.
 You examine the wall closer, translating the text as you read:
“The vizier Rekhmire receives tiger nuts and honey in the treasury of the temple and puts under seal all property given as an offering in the temple of Amun in the function of his office as supervisor of the records.
Crushing tiger nuts in the treasury of Amun, Lord of the thrones of the Two Lands, to make offerings at every festival which His majesty has established.
[The crushed nuts are shown to be passed through a sieve to make a flour before being added to some sort of dough with an unknown liquid added]
Add the fat and cook the cakes. ” — Theophrastus, Historia Plantarum 4.8.12
 You go home to your small apartment 4 floors up. Your cat greets you at the door. ""Maybe I'm just a phony egyptologist. I should quit... right tut-tut?""
Tut-tut, your sweet little cat, suddenly jumps on the table and lets out a big meow. She never does that. Maybe its a sign... from the gods...
 You examine the wall closer, translating the text as you read:
“The vizier Rekhmire receives tiger nuts and honey in the treasury of the temple and puts under seal all property given as an offering in the temple of Amun in the function of his office as supervisor of the records.
Crushing tiger nuts in the treasury of Amun, Lord of the thrones of the Two Lands, to make offerings at every festival which His majesty has established.
[The crushed nuts are shown to be passed through a sieve to make a flour before being added to some sort of dough with an unknown liquid added]
Add the fat and cook the cakes. ” — Theophrastus, Historia Plantarum 4.8.12
 1. boiling water
2. dried tiger nuts: Neither tigers nor nuts, tiger nuts are an earthy, slightly sweet tuber that was used in ancient Egypt as food, medicine, or perfume. You can buy tiger nut flour for this recipe, but the texture might be different.
3. sidr honey: Sidr honey is more accurate for this and is darker, less sweet, and more aromatic than regular honey. You can use any honey you like.
4. warm water
5. ghee, butter, animal fat, or oil
Now... what about the measurements?
","2 cups (475 ml) boiling water
4 cups (500 g) dried tiger nuts
1 cup (325 g) sidr honey
1/3 cup (80 ml) warm water
1/2 cup (100 g) ghee, butter, animal fat, or oil
Great! Lets make them!
","2. Blend the crushed tiger nuts in a food processor until you have a flour.
3. Add the honey and mix until incorporated.
4. Melt the fat on medium heat and add the tiger nut dough. Cook for 5 minutes, stirring constantly.
",The user supplies the exact measurements requested and explicitly says to begin making them. This cleanly leads into the recipe steps in the target knot with no meaningful ambiguity or missing action.
DIRECT_CONTINUE,BRIDGE_AND_CONTINUE,"It is a beatiful day in egpyt. Your are Cleopatra VII Thea Philopator the ruler of a kingdom. You are 23 you have got a bug bite and yoou need a doctor. You will....
 you walk outside in the sandy road a guy named Antony (Mark Antony was a politician who assisted Julius Caesar and took on the role of leader after Caesar's assassination) mark comes up to you and ask you if you want to talk.
","You decide also ditch the idea for a doctor.to talk to him and he ask if you want to patners with him.
","Every day anonty comes over to your palace, soon you fall in love with him.
","The user intent is clear: Cleopatra abandons the doctor idea, speaks with Antony, and engages with his offer to partner with him. A short chronological bridge can logically move from this first conversation to an ongoing association before the target knot begins."
